,open,close,high,low,volume
2020-01-02,65.99,67.06,67.25,65.9,10499688
2020-01-02,67.06,66.76,67.09,66.56,4397935
2020-01-02,66.75,67.07,67.15,66.52,2955147
2020-01-02,67.05,67.1,67.16,66.91,2659100
2020-01-02,67.09,67.45,67.45,67.09,3651828
2020-01-02,67.45,67.25,67.46,67.09,1836286
2020-01-02,67.25,67.6,67.6,67.23,2313743
2020-01-02,67.59,67.35,67.89,67.19,3115904
2020-01-02,67.35,67.48,67.7,67.35,1629081
2020-01-02,67.48,67.83,68.09,67.48,3955167
2020-01-02,67.82,67.98,68.0,67.7,1681176
2020-01-02,67.98,68.0,68.0,67.93,1317804
2020-01-02,67.99,67.84,68.0,67.79,1279941
2020-01-02,67.84,67.8,67.96,67.71,1446300
2020-01-02,67.88,67.9,67.96,67.84,1681728
2020-01-02,67.91,67.9,67.95,67.9,1940615
2020-01-03,68.38,68.56,68.7,67.9,6031146
2020-01-03,68.56,67.81,68.6,67.75,4026788
2020-01-03,67.85,67.88,68.2,67.7,2419379
2020-01-03,67.88,67.82,67.88,67.48,2996404
2020-01-03,67.82,67.78,67.82,67.55,1501052
2020-01-03,67.72,68.02,68.02,67.55,1652688
2020-01-03,68.02,67.5,68.02,67.5,1543110
2020-01-03,67.5,67.35,67.55,67.34,1822240
2020-01-03,67.35,67.1,67.48,67.09,2076722
2020-01-03,67.1,67.3,67.34,67.0,2629413
2020-01-03,67.3,67.32,67.39,67.27,1378901
2020-01-03,67.32,67.23,67.35,67.23,1151512
2020-01-03,67.23,67.17,67.26,66.9,2643556
2020-01-03,67.17,67.3,67.33,67.17,1401721
2020-01-03,67.28,67.16,67.31,67.15,1485344
2020-01-03,67.17,67.1,67.17,67.01,2110397
2020-01-06,66.8,66.74,66.81,66.06,5787438
2020-01-06,66.75,66.77,67.07,66.71,2972212
2020-01-06,66.83,66.7,66.89,66.61,2259111
2020-01-06,66.7,66.74,66.95,66.69,1455600
2020-01-06,66.76,66.23,66.76,66.2,2436103
2020-01-06,66.24,66.29,66.59,66.23,2041617
2020-01-06,66.29,66.43,66.45,66.28,1336440
2020-01-06,66.43,66.48,66.55,66.43,1388000
2020-01-06,66.47,66.24,66.49,66.24,2034760
2020-01-06,66.24,65.98,66.25,65.9,4727564
2020-01-06,65.99,65.82,66.01,65.8,3928534
2020-01-06,65.81,65.8,66.0,65.68,2901114
2020-01-06,65.79,65.32,65.81,65.32,4114676
2020-01-06,65.32,65.15,65.33,65.0,4137070
2020-01-06,65.16,65.83,65.9,65.16,3371230
2020-01-06,65.83,65.88,65.88,65.7,1888786
2020-01-07,66.17,67.22,67.44,66.0,9226244
2020-01-07,67.2,67.28,67.48,67.05,5288856
2020-01-07,67.28,66.96,67.28,66.96,3328276
2020-01-07,66.96,67.11,67.2,66.96,2163697
2020-01-07,67.12,67.34,67.46,67.08,2492418
2020-01-07,67.34,67.16,67.34,67.09,2193045
2020-01-07,67.15,67.37,67.37,67.15,1348347
2020-01-07,67.37,67.26,67.45,67.21,1777483
2020-01-07,67.27,67.25,67.4,67.21,1643747
2020-01-07,67.25,67.35,67.47,67.21,1610988
2020-01-07,67.36,67.33,67.4,67.21,1633862
2020-01-07,67.3,67.4,67.45,67.29,1399745
2020-01-07,67.41,67.47,67.47,67.35,1562854
2020-01-07,67.47,67.48,67.55,67.43,2362428
2020-01-07,67.48,67.24,67.53,67.18,1577932
2020-01-07,67.24,67.32,67.32,67.22,1466673
2020-01-08,66.6,67.36,67.64,66.6,5054325
